iter	Passed	Remaining
0	140	140492
1	142	70992
2	143	47676
3	144	36016
4	146	29072
5	147	24426
6	148	21103
7	150	18616
8	151	16665
9	152	15120
10	154	13847
11	155	12766
12	156	11849
13	157	11086
14	158	10411
15	159	9833
16	160	9308
17	162	8843
18	163	8434
19	164	8065
20	165	7733
21	167	7435
22	168	7161
23	169	6909
24	171	6672
25	172	6450
26	173	6245
27	174	6055
28	175	5875
29	177	5747
30	180	5637
31	182	5530
32	184	5399
33	185	5281
34	187	5157
35	188	5041
36	189	4929
37	190	4824
38	191	4725
39	192	4628
40	194	4538
41	195	4467
42	197	4400
43	199	4323
44	200	4246
45	201	4172
46	202	4105
47	203	4043
48	204	3978
49	206	3914
50	207	3855
51	208	3797
52	209	3740
53	210	3695
54	213	3666
55	214	3616
56	215	3569
57	216	3524
58	218	3480
59	219	3436
60	220	3391
61	221	3353
62	222	3312
63	223	3275
64	225	3243
65	227	3213
66	228	3178
67	229	3144
68	230	3110
69	231	3078
70	232	3046
71	234	3016
72	235	2986
73	236	2956
74	237	2929
75	239	2906
76	240	2888
77	242	2864
78	243	2839
79	244	2813
80	245	2788
81	246	2764
82	247	2734
83	248	2710
84	249	2687
85	250	2663
86	251	2641
87	252	2619
88	253	2599
89	255	2584
90	256	2564
91	258	2546
92	259	2526
93	260	2507
94	261	2488
95	262	2469
96	263	2452
97	264	2435
98	265	2418
99	266	2401
100	267	2384
101	269	2369
102	270	2357
103	271	2341
104	272	2325
105	274	2311
106	275	2295
107	276	2279
108	276	2263
109	277	2248
110	278	2232
111	279	2217
112	280	2202
113	281	2187
114	282	2173
115	283	2161
116	285	2153
117	286	2142
118	287	2129
119	288	2117
120	289	2105
121	290	2092
122	291	2081
123	292	2069
124	293	2057
125	294	2044
126	295	2032
127	296	2021
128	297	2010
129	299	2003
130	300	1995
131	302	1986
132	303	1976
133	304	1965
134	305	1955
135	306	1945
136	307	1935
137	308	1926
138	309	1917
139	310	1908
140	311	1899
141	312	1888
142	314	1883
143	315	1876
144	316	1867
145	317	1859
146	319	1851
147	320	1842
148	321	1834
149	322	1825
150	323	1816
151	324	1807
152	325	1799
153	326	1791
154	327	1783
155	328	1776
156	330	1772
157	331	1765
158	332	1757
159	333	1750
160	334	1741
161	335	1733
162	336	1725
163	337	1718
164	338	1711
165	339	1704
166	340	1698
167	341	1691
168	342	1685
169	344	1680
170	345	1675
171	346	1669
172	347	1662
173	348	1655
174	349	1649
175	350	1642
176	351	1635
177	352	1629
178	353	1623
179	355	1617
180	356	1612
181	357	1605
182	358	1602
183	360	1598
184	361	1592
185	362	1586
186	363	1580
187	364	1574
188	365	1568
189	366	1563
190	367	1557
191	368	1551
192	369	1546
193	370	1540
194	372	1535
195	373	1533
196	375	1529
197	376	1524
198	377	1519
199	378	1514
200	379	1509
201	380	1504
202	382	1500
203	383	1495
204	384	1490
205	385	1486
206	386	1480
207	387	1477
208	389	1474
209	390	1469
210	391	1465
211	392	1460
212	393	1455
213	394	1450
214	395	1445
215	396	1440
216	398	1436
217	399	1431
218	400	1426
219	401	1422
220	402	1418
221	404	1416
222	405	1411
223	406	1408
224	407	1404
225	408	1400
226	410	1396
227	411	1391
228	412	1388
229	413	1384
230	415	1381
231	416	1378
232	418	1376
233	419	1373
234	421	1370
235	422	1367
236	423	1363
237	424	1360
238	426	1358
239	428	1355
240	429	1352
241	430	1348
242	432	1346
243	433	1344
244	436	1343
245	437	1340
246	438	1337
247	439	1333
248	440	1329
249	442	1326
250	443	1323
251	444	1320
252	446	1317
253	448	1316
254	449	1313
255	450	1310
256	452	1307
257	453	1305
258	455	1301
259	456	1299
260	458	1299
261	460	1297
262	462	1296
263	464	1294
264	465	1291
265	466	1288
266	468	1285
267	469	1281
268	471	1280
269	472	1277
270	473	1274
271	474	1270
272	476	1269
273	478	1268
274	480	1265
275	481	1263
276	482	1260
277	484	1258
278	485	1254
279	486	1251
280	488	1249
281	489	1246
282	490	1243
283	492	1241
284	493	1239
285	495	1236
286	496	1233
287	498	1231
288	499	1228
289	500	1225
290	502	1223
291	503	1221
292	505	1219
293	506	1217
294	509	1217
295	510	1214
296	512	1212
297	513	1210
298	516	1211
299	519	1212
300	521	1211
301	523	1209
302	524	1207
303	526	1204
304	527	1202
305	529	1199
306	530	1198
307	532	1196
308	533	1193
309	535	1191
310	537	1189
311	538	1188
312	540	1185
313	541	1183
314	543	1181
315	544	1178
316	545	1175
317	546	1173
318	548	1170
319	549	1167
320	550	1165
321	552	1164
322	554	1161
323	555	1158
324	556	1156
325	558	1153
326	559	1151
327	560	1149
328	562	1146
329	564	1145
330	565	1142
331	566	1140
332	568	1138
333	569	1135
334	571	1133
335	572	1131
336	574	1129
337	575	1126
338	577	1126
339	580	1126
340	582	1125
341	584	1124
342	591	1132
343	593	1131
344	600	1140
345	602	1139
346	604	1137
347	606	1135
348	607	1133
349	608	1130
350	610	1127
351	612	1128
352	615	1127
353	617	1127
354	619	1125
355	621	1125
356	623	1122
357	625	1120
358	627	1120
359	629	1119
360	631	1116
361	632	1115
362	634	1113
363	635	1111
364	637	1108
365	639	1107
366	641	1106
367	643	1105
368	645	1104
369	647	1102
370	649	1100
371	650	1098
372	652	1097
373	657	1101
374	662	1103
375	663	1101
376	664	1098
377	666	1096
378	667	1093
379	668	1091
380	670	1090
381	672	1088
382	673	1085
383	675	1083
384	676	1080
385	677	1077
386	678	1074
387	679	1071
388	680	1069
389	681	1066
390	682	1063
391	684	1061
392	685	1058
393	686	1056
394	688	1053
395	689	1051
396	690	1048
397	691	1045
398	692	1043
399	694	1041
400	695	1038
401	696	1035
402	697	1033
403	698	1030
404	699	1028
405	701	1026
406	702	1023
407	703	1021
408	705	1018
409	706	1016
410	707	1013
411	708	1011
412	709	1008
413	711	1006
414	712	1004
415	713	1001
416	714	999
417	716	996
418	717	994
419	718	992
420	719	989
421	720	987
422	721	984
423	723	982
424	724	979
425	725	977
426	726	975
427	727	972
428	729	971
429	730	968
430	731	966
431	733	963
432	734	961
433	735	959
434	736	957
435	738	955
436	739	952
437	740	950
438	742	948
439	743	946
440	744	943
441	746	942
442	747	939
443	748	937
444	749	935
445	750	932
446	751	930
447	753	928
448	754	925
449	755	923
450	756	921
451	758	918
452	759	917
453	760	914
454	761	912
455	762	910
456	764	908
457	765	906
458	766	903
459	767	901
460	768	899
461	770	896
462	771	894
463	772	892
464	774	890
465	775	888
466	777	886
467	778	884
468	779	882
469	780	880
470	781	878
471	783	876
472	784	873
473	785	871
474	786	869
475	787	867
476	788	865
477	790	862
478	791	860
479	792	858
480	796	859
481	798	857
482	799	855
483	800	853
484	801	851
485	802	849
486	803	846
487	804	844
488	806	842
489	807	840
490	808	838
491	809	836
492	810	833
493	811	831
494	813	829
495	814	827
496	815	825
497	817	824
498	818	822
499	819	819
500	821	817
501	822	815
502	823	813
503	824	811
504	826	809
505	827	807
506	828	805
507	829	803
508	831	801
509	832	799
510	833	797
511	835	795
512	836	793
513	837	791
514	838	789
515	839	787
516	840	785
517	841	783
518	843	781
519	844	779
520	845	777
521	846	775
522	848	773
523	849	771
524	850	769
525	852	768
526	853	766
